Outcome,Message,Identity,Delay,IPODescriptions IPOIdentifier,IPODescriptions Name,IPODescriptions Symbol,IPODescriptions Market,IPODescriptions MarketIdentificationCode,IPODescriptions Status,IPODescriptions FilingDate,IPODescriptions TradeDate,IPODescriptions EstimatedOfferDate,IPODescriptions OfferDate,IPODescriptions OfferLowPrice,IPODescriptions OfferHighPrice,IPODescriptions OfferSize,IPODescriptions OfferPrice,IPODescriptions OfferAmount,IPODescriptions Currency,IPODescriptions SmallMarketCap,IPODescriptions SpecialPurposeAcquisitionCompany
Success,,Request,48.2936147,8827,Alon Brands,ABO,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Withdrawn,11/12/2008,,,,,,,,,USD,,
Success,,Request,48.2936147,11830,Alon USA Partners,ALDW,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,8/31/2012,11/20/2012,11/19/2012,11/19/2012,19,21,10000000,16,160000000,USD,False,False
Success,,Request,48.2936147,22804,Altair Engineering,ALTR,NASDAQ,XNAS,Priced,9/29/2017,11/1/2017,10/30/2017,10/31/2017,11,13,12000000,13,156000000,USD,False,False
Success,,Request,48.2936147,21327,Alteryx,AYX,"New York Stock Exchange, Inc.",XNYS,Priced,2/24/2017,3/24/2017,3/20/2017,3/23/2017,12,14,9000000,14,126000000,USD,False,False
Success,,Request,48.2936147,13717,AltheaDx,IDGX,NASDAQ,XNAS,Postponed,12/23/2014,,2/9/2015,,12,14,,,59995000,USD,False,False
Success,,Request,48.2936147,21423,Altice USA,ATUS,"New York Stock Exchange, Inc.",XNYS,Priced,4/11/2017,6/22/2017,6/19/2017,6/21/2017,27,31,63943029,30,1918290870,USD,False,False
Success,,Request,48.2936147,23797,Alzheon,ALZH,NASDAQ,XNAS,Active,8/27/2018,,11/27/2018,,4,6,,,30000000,USD,False,False
Success,,Request,48.2936147,23321,Alzheon,ALZH,NASDAQ,XNAS,Postponed,3/16/2018,,4/23/2018,,13,15,,,70000000,USD,False,False
Success,,Request,48.2936147,23695,Amalgamated Bank,AMAL,NASDAQ,XNAS,Priced,7/19/2018,8/9/2018,8/6/2018,8/8/2018,15,17,6718729,15.5,104140299,USD,False,False
Success,,Request,48.2936147,10917,Ambarella,AMBA,NASDAQ,XNAS,Priced,6/10/2011,10/10/2012,10/8/2012,10/9/2012,9,11,6000000,6,36000000,USD,False,False
Success,,Request,48.2936147,12828,Amber Road,AMBR,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,2/10/2014,3/21/2014,3/17/2014,3/20/2014,10.5,12.5,7391565,13,96090345,USD,False,False
Success,,Request,48.2936147,12105,Ambit Biosciences,AMBI,NASDAQ,XNAS,Priced,2/20/2013,5/16/2013,5/13/2013,5/15/2013,8,8,8125000,8,65000000,USD,False,False
Success,,Request,48.2936147,22695,Ambow Education Holding,AMBO,"New York Stock Exchange, Inc.",XNYS,Priced,8/28/2017,6/1/2018,5/28/2018,5/31/2018,3.5,4.5,1800000,4.25,7650000,USD,False,False
Success,,Request,48.2936147,13100,Ambrx,AMBX,NASDAQ,XNAS,Active,5/2/2014,,6/30/2014,,12,14,,,70200000,USD,False,False
Success,,Request,48.2936147,12482,AMC Entertainment,AMC,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,8/30/2013,12/18/2013,12/16/2013,12/17/2013,18,20,18421053,18,331578954,USD,False,False
Success,,Request,48.2936147,24947,AMCI Acquisition,AMCIU,NASDAQ,XNAS,Priced,10/25/2018,11/16/2018,11/12/2018,11/15/2018,10,10,20000000,10,200000000,USD,False,True
Success,,Request,48.2936147,12610,Amedica,AMDA,NASDAQ,XNAS,Priced,11/8/2013,2/13/2014,2/10/2014,2/12/2014,8,10,3500000,5.75,20125000,USD,False,False
Success,,Request,48.2936147,22763,AMERI Holdings,AMRH,NASDAQ,XNAS,Priced,9/18/2017,11/17/2017,11/13/2017,11/17/2017,4,4.5,1475000,4.12,6077000,USD,False,False
