Outcome,Message,Identity,Delay,IPOPerformances Symbol,IPOPerformances Name,IPOPerformances OfferPrice,IPOPerformances OfferDate,IPOPerformances TradeDate,IPOPerformances Currency,IPOPerformances ClosePrice,IPOPerformances ClosePriceDate,IPOPerformances PercentChange
Success,,Request,63.6632563,KBLMU,KBL Merger Corp. IV,10,6/1/2017,6/2/2017,USD,10.95,4/11/2019,9.5
Success,,Request,63.6632563,FRAC,Keane Group,19,1/19/2017,1/20/2017,USD,11.57,4/11/2019,-39.11
Success,,Request,63.6632563,KMPH,KemPharm,11,4/15/2015,4/16/2015,USD,1.69,4/11/2019,-84.64
Success,,Request,63.6632563,KZR,Kezar Life Sciences,15,6/20/2018,6/21/2018,USD,19.94,4/11/2019,32.93
Success,,Request,63.6632563,KRP,Kimbell Royalty Partners LP,18,2/3/2017,2/3/2017,USD,17.8,4/11/2019,-1.11
Success,,Request,63.6632563,KIN,Kindred Biosciences,7,12/11/2013,12/12/2013,USD,8.95,4/11/2019,27.86
Success,,Request,63.6632563,KING,King Digital Entertainment,22.5,3/25/2014,3/26/2014,USD,0.004,4/11/2019,-99.98
Success,,Request,63.6632563,KNSA,Kiniksa Pharmaceuticals,18,5/23/2018,5/24/2018,USD,18,4/11/2019,0
Success,,Request,63.6632563,KNSL,Kinsale Capital Group,16,7/27/2016,7/28/2016,USD,69.17,4/11/2019,332.31
Success,,Request,63.6632563,KREF,KKR Real Estate Finance Trust,20.5,5/4/2017,5/5/2017,USD,20.29,4/11/2019,-1.02
Success,,Request,63.6632563,KNOP,KNOT Offshore Partners LP,21,4/9/2013,4/10/2013,USD,20.27,4/11/2019,-3.48
Success,,Request,63.6632563,KOD,Kodiak Sciences,10,10/3/2018,10/4/2018,USD,7.155,4/11/2019,-28.45
Success,,Request,63.6632563,KRNT,Kornit Digital,10,4/1/2015,4/2/2015,USD,27.76,4/11/2019,177.6
Success,,Request,63.6632563,KRYS,Krystal Biotech,10,9/19/2017,9/20/2017,USD,32.23,4/11/2019,222.3
Success,,Request,63.6632563,KURA,Kura Oncology,8,11/4/2015,11/5/2015,USD,15.73,4/11/2019,96.62
Success,,Request,63.6632563,LADR,Ladder Capital,17,2/5/2014,2/6/2014,USD,17.13,4/11/2019,0.76
Success,,Request,63.6632563,LAIX,LAIX,12.5,9/26/2018,9/27/2018,USD,11.2,4/11/2019,-10.4
Success,,Request,63.6632563,LCAHU,Landcadia Holdings,10,5/25/2016,5/26/2016,USD,13.1387,4/11/2019,31.39
Success,,Request,63.6632563,LMRK,Landmark Infrastructure Partners LP,19,11/13/2014,11/14/2014,USD,15.86,4/11/2019,-16.53
Success,,Request,63.6632563,LNTH,Lantheus Holdings,6,6/24/2015,6/25/2015,USD,25.52,4/11/2019,325.33
Success,,Request,63.6632563,LAUR,Laureate Education,14,1/31/2017,2/1/2017,USD,15.7,4/11/2019,12.14
Success,,Request,63.6632563,LGC.U,Legacy Acquisition,10,11/16/2017,11/17/2017,USD,10.37,4/11/2019,3.7
Success,,Request,63.6632563,LEGH,Legacy Housing,12,12/13/2018,12/14/2018,USD,9.55,4/11/2019,-20.42
Success,,Request,63.6632563,LACQU,Leisure Acquisition,10,11/30/2017,12/1/2017,USD,10.3,4/11/2019,3
Success,,Request,63.6632563,LEJU,Leju Holdings,10,4/16/2014,4/17/2014,USD,1.7,4/11/2019,-83
Success,,Request,63.6632563,LC,LendingClub,15,12/10/2014,12/11/2014,USD,3.25,4/11/2019,-78.33
Success,,Request,63.6632563,LHC.U,Leo Holdings,10,2/12/2018,2/13/2018,USD,11.25,4/11/2019,12.5
Success,,Request,63.6632563,LEVB,Level Brands,6,11/16/2017,11/17/2017,USD,4.14,4/11/2019,-31
Success,,Request,63.6632563,LEVL,Level One Bancorp,28,4/19/2018,4/20/2018,USD,22.9,4/11/2019,-18.21
Success,,Request,63.6632563,LEVI,Levi Strauss & Co.,17,3/20/2019,3/21/2019,USD,23.03,4/11/2019,35.47
Success,,Request,63.6632563,LX,LexinFintech Holdings,9,12/21/2017,12/21/2017,USD,13.73,4/11/2019,52.56
Success,,Request,63.6632563,LFACU,LF Capital Acquisition,10,6/19/2018,6/20/2018,USD,10.46,4/11/2019,4.6
Success,,Request,63.6632563,LGIH,LGI Homes,11,11/6/2013,11/7/2013,USD,67.49,4/11/2019,513.55
Success,,Request,63.6632563,LBRT,Liberty Oilfield Services,17,1/11/2018,1/12/2018,USD,16.48,4/11/2019,-3.06
Success,,Request,63.6632563,LITB,LightInTheBox,9.5,6/5/2013,6/6/2013,USD,1.67,4/11/2019,-82.42
Success,,Request,63.6632563,LN,LINE,32.84,7/11/2016,7/14/2016,USD,33.7,4/11/2019,2.62
Success,,Request,63.6632563,LIQD,Liquid Holdings Group,9,7/25/2013,7/26/2013,USD,0.0015,4/11/2019,-99.98
Success,,Request,63.6632563,LQDA,Liquidia Technologies,11,7/25/2018,7/26/2018,USD,10.18,4/11/2019,-7.45
Success,,Request,63.6632563,LOB,Live Oak Bancshares,17,7/23/2015,7/23/2015,USD,15.87,4/11/2019,-6.65
Success,,Request,63.6632563,LTHM,Livent,17,10/10/2018,10/11/2018,USD,12.23,4/11/2019,-28.06
Success,,Request,63.6632563,LOGC,LogicBio Therapeutics,10,10/18/2018,10/19/2018,USD,10.41,4/11/2019,4.1
Success,,Request,63.6632563,LOMA,Loma Negra,19,10/31/2017,11/1/2017,USD,10.81,4/11/2019,-43.11
Success,,Request,63.6632563,LFIN,Longfin,5,12/12/2017,12/13/2017,USD,1.65,4/11/2019,-67
Success,,Request,63.6632563,LOXO,Loxo Oncology,13,7/31/2014,8/1/2014,USD,234.66,4/11/2019,1705.08
Success,,Request,63.6632563,LBC,Luther Burbank,10.75,12/7/2017,12/8/2017,USD,10.69,4/11/2019,-0.56
Success,,Request,63.6632563,LXFR,Luxfer Holdings,10,10/2/2012,10/3/2012,USD,24.91,4/11/2019,149.1
Success,,Request,63.6632563,LXFT,Luxoft Holding,17,6/25/2013,6/26/2013,USD,58.74,4/11/2019,245.53
Success,,Request,63.6632563,LYFT,Lyft,72,3/28/2019,3/29/2019,USD,61.01,4/11/2019,-15.26
Success,,Request,63.6632563,MTSI,M/A-COM Technology,19,3/14/2012,3/15/2012,USD,16.16,4/11/2019,-14.95
Success,,Request,63.6632563,MGNX,MacroGenics,16,10/9/2013,10/10/2013,USD,17.75,4/11/2019,10.94
Success,,Request,63.6632563,MGTA,Magenta Therapeutics,15,6/20/2018,6/21/2018,USD,16.11,4/11/2019,7.4
Success,,Request,63.6632563,MBUU,Malibu Boats,14,1/30/2014,1/31/2014,USD,40.13,4/11/2019,186.64
Success,,Request,63.6632563,TUSK,Mammoth Energy Services,15,10/13/2016,10/14/2016,USD,18.02,4/11/2019,20.13
Success,,Request,63.6632563,MANU,Manchester United Ltd.,14,8/9/2012,8/10/2012,USD,19.66,4/11/2019,40.43
Success,,Request,63.6632563,MMI,Marcus & Millichap,12,10/30/2013,10/31/2013,USD,43.01,4/11/2019,258.42
Success,,Request,63.6632563,MRIN,Marin Software,14,3/21/2013,3/22/2013,USD,4.92,4/11/2019,-64.86
Success,,Request,63.6632563,MRNS,Marinus Pharmaceuticals,8,7/31/2014,7/31/2014,USD,4.4,4/11/2019,-45
Success,,Request,63.6632563,MBII,Marrone Bio Innovations,12,8/1/2013,8/2/2013,USD,1.48,4/11/2019,-87.67
Success,,Request,63.6632563,MCFT,MasterCraft,15,7/16/2015,7/17/2015,USD,23.74,4/11/2019,58.27
Success,,Request,63.6632563,MTDR,Matador Resources,12,2/1/2012,2/2/2012,USD,19.42,4/11/2019,61.83
Success,,Request,63.6632563,MTCH,Match Group,12,11/18/2015,11/19/2015,USD,57.87,4/11/2019,382.25
Success,,Request,63.6632563,MTLS,Materialise,12,6/24/2014,6/25/2014,USD,16.72,4/11/2019,39.33
Success,,Request,63.6632563,MPACU,Matlin & Partners Acquisition,10,3/9/2017,3/10/2017,USD,10,4/11/2019,0
Success,,Request,63.6632563,MDRR,Medalist Diversified REIT,10,11/28/2018,11/28/2018,USD,7.18,4/11/2019,-28.2
Success,,Request,63.6632563,MRT,MedEquities Realty Trust,12,9/28/2016,9/29/2016,USD,10.9,4/11/2019,-9.17
Success,,Request,63.6632563,MTBC,Medical Transcription Billing,5,7/22/2014,7/23/2014,USD,4.92,4/11/2019,-1.6
Success,,Request,63.6632563,MDWD,MediWound,14,3/19/2014,3/20/2014,USD,4.86,4/11/2019,-65.29
Success,,Request,63.6632563,MDLY,Medley Management,18,9/23/2014,9/24/2014,USD,3.24,4/11/2019,-82
Success,,Request,63.6632563,MEDP,Medpace Holdings,23,8/10/2016,8/11/2016,USD,60.66,4/11/2019,163.74
Success,,Request,63.6632563,MFACU,Megalith Financial Acquisition,10,8/23/2018,8/24/2018,USD,10.24,4/11/2019,2.4
Success,,Request,63.6632563,MGTX,MeiraGTx Holdings,15,6/7/2018,6/8/2018,USD,19.67,4/11/2019,31.13
Success,,Request,63.6632563,MNLO,Menlo Therapeutics,17,1/24/2018,1/25/2018,USD,7.71,4/11/2019,-54.65
Success,,Request,63.6632563,MBIN,Merchants Bancorp,16,10/26/2017,10/27/2017,USD,22.65,4/11/2019,41.56
Success,,Request,63.6632563,MRBK,Meridian Bank,17,11/6/2017,11/7/2017,USD,17.78,4/11/2019,4.59
Success,,Request,63.6632563,MACK,Merrimack Pharmaceuticals,7,3/28/2012,3/29/2012,USD,5.76,4/11/2019,-17.71
Success,,Request,63.6632563,MRSN,Mersana Therapeutics,15,6/27/2017,6/28/2017,USD,4.76,4/11/2019,-68.27
Success,,Request,63.6632563,MRUS,Merus,10,5/18/2016,5/19/2016,USD,13.57,4/11/2019,35.7
Success,,Request,63.6632563,MESA,Mesa Air Group,12,8/9/2018,8/10/2018,USD,8.46,4/11/2019,-29.5
Success,,Request,63.6632563,MESO,Mesoblast,8,11/12/2015,11/13/2015,USD,5.32,4/11/2019,-33.5
Success,,Request,63.6632563,MCB,Metropolitan Bank Holding,35,11/7/2017,11/8/2017,USD,36.92,4/11/2019,5.49
Success,,Request,63.6632563,MGP,MGM Growth Properties LLC,21,4/19/2016,4/20/2016,USD,32.2,4/11/2019,53.33
Success,,Request,63.6632563,MSBI,Midland States Bancorp,22,5/23/2016,5/24/2016,USD,26.24,4/11/2019,19.27
Success,,Request,63.6632563,MPO,Midstates Petroleum Company,13,4/19/2012,4/20/2012,USD,10.63,4/11/2019,-18.23
Success,,Request,63.6632563,MCRN,Milacron Holdings,20,6/24/2015,6/25/2015,USD,13.53,4/11/2019,-32.35
Success,,Request,63.6632563,MIME,Mimecast,10,11/18/2015,11/19/2015,USD,48.11,4/11/2019,381.1
Success,,Request,63.6632563,MB,Mindbody,14,6/18/2015,6/19/2015,USD,36.46,4/11/2019,160.43
Success,,Request,63.6632563,NERV,Minerva Neurosciences,6,6/30/2014,7/1/2014,USD,7.4,4/11/2019,23.33
Success,,Request,63.6632563,MIXT,MiX Telematics,16,8/8/2013,8/9/2013,USD,17.02,4/11/2019,6.38
Success,,Request,63.6632563,MOBL,MobileIron,9,6/11/2014,6/12/2014,USD,5.48,4/11/2019,-39.11
Success,,Request,63.6632563,MODN,Model N,15.5,3/19/2013,3/20/2013,USD,17.34,4/11/2019,11.87
Success,,Request,63.6632563,MMDMU,Modern Media Acquisition,10,5/11/2017,5/12/2017,USD,10.7,4/11/2019,7
Success,,Request,63.6632563,MRNA,Moderna,23,12/6/2018,12/7/2018,USD,25.73,4/11/2019,11.87
Success,,Request,63.6632563,MC,Moelis & Company,25,4/15/2014,4/16/2014,USD,37.4,4/11/2019,49.6
Success,,Request,63.6632563,MOGU,MOGU,14,12/5/2018,12/6/2018,USD,11.73,4/11/2019,-16.21
Success,,Request,63.6632563,MOMO,Momo,13.5,12/10/2014,12/11/2014,USD,37.2,4/11/2019,175.56
Success,,Request,63.6632563,MDB,MongoDB,24,10/18/2017,10/19/2017,USD,143.71,4/11/2019,498.79
Success,,Request,63.6632563,MNCLU,Monocle Acquisition,10,2/6/2019,2/7/2019,USD,10.07,4/11/2019,0.7
Success,,Request,63.6632563,MOR,MorphoSys,25.04,4/18/2018,4/19/2018,USD,24.38,4/11/2019,-2.64
Success,,Request,63.6632563,MOSC.U,Mosaic Acquisition,10,10/18/2017,10/19/2017,USD,10.4492,4/11/2019,4.49
Success,,Request,63.6632563,MTFB,Motif Bio,6.98,11/18/2016,11/18/2016,USD,2.18,4/11/2019,-68.77
Success,,Request,63.6632563,MOTS,Motus GI Holdings,5,2/13/2018,2/14/2018,USD,3.9,4/11/2019,-22
Success,,Request,63.6632563,MPLX,MPLX LP,22,10/25/2012,10/26/2012,USD,32.7,4/11/2019,48.64
Success,,Request,63.6632563,MRC,MRC Global,21,4/11/2012,4/12/2012,USD,18.57,4/11/2019,-11.57
Success,,Request,63.6632563,MTECU,MTech Acquisition,10,1/29/2018,1/30/2018,USD,10.61,4/11/2019,6.1
Success,,Request,63.6632563,MUDSU,Mudrick Capital Acquisition,10,2/7/2018,2/8/2018,USD,10.58,4/11/2019,5.8
Success,,Request,63.6632563,MYOK,MyoKardia,10,10/28/2015,10/29/2015,USD,50.94,4/11/2019,409.4
Success,,Request,63.6632563,MYOV,Myovant Sciences,15,10/26/2016,10/27/2016,USD,20.92,4/11/2019,39.47
Success,,Request,63.6632563,NBRV,Nabriva Therapeutics,10.25,9/17/2015,9/18/2015,USD,2.75,4/11/2019,-73.17
Success,,Request,63.6632563,NSTG,NanoString Technologies,10,6/25/2013,6/26/2013,USD,26.18,4/11/2019,161.8
Success,,Request,63.6632563,NH,NantHealth,14,6/1/2016,6/2/2016,USD,0.8689,4/11/2019,-93.79
Success,,Request,63.6632563,NK,NantKwest,25,7/27/2015,7/28/2015,USD,1.41,4/11/2019,-94.36
Success,,Request,63.6632563,NTRA,Natera,18,7/1/2015,7/2/2015,USD,20.39,4/11/2019,13.28
Success,,Request,63.6632563,NBHC,National Bank Holdings,19.25,9/19/2012,9/20/2012,USD,34.62,4/11/2019,79.84
Success,,Request,63.6632563,NCOM,National Commerce,19.5,3/18/2015,3/19/2015,USD,39.21,4/11/2019,101.08
Success,,Request,63.6632563,NSA,National Storage Affiliates Trust,13,4/22/2015,4/23/2015,USD,28.5,4/11/2019,119.23
Success,,Request,63.6632563,EYE,National Vision Holdings,22,10/25/2017,10/26/2017,USD,29.56,4/11/2019,34.36
Success,,Request,63.6632563,NGVC,Natural Grocers by Vitamin Cottage,15,7/24/2012,7/25/2012,USD,12.69,4/11/2019,-15.4
Success,,Request,63.6632563,NVGS,Navigator Holdings,19,11/20/2013,11/21/2013,USD,11.22,4/11/2019,-40.95
Success,,Request,63.6632563,NAP,Navios Maritime Midstream Partners LP,15,11/13/2014,11/13/2014,USD,2.5,4/11/2019,-83.33
Success,,Request,63.6632563,NCSM,NCS Multistage Holdings,17,4/27/2017,4/28/2017,USD,5.26,4/11/2019,-69.06
Success,,Request,63.6632563,NTGN,Neon Therapeutics,16,6/26/2018,6/27/2018,USD,6.66,4/11/2019,-58.38
Success,,Request,63.6632563,NEOS,Neos Therapeutics,15,7/22/2015,7/23/2015,USD,2.22,4/11/2019,-85.2
Success,,Request,63.6632563,NETS,Netshoes,18,4/11/2017,4/12/2017,USD,2.35,4/11/2019,-86.94
Success,,Request,63.6632563,STIM,Neuronetics,17,6/27/2018,6/28/2018,USD,16.7,4/11/2019,-1.76
Success,,Request,63.6632563,NVRO,Nevro,18,11/5/2014,11/6/2014,USD,65.2,4/11/2019,262.22
